id,Ticker,Pays,Industrie,Secteur,Bourse,Nom_complet,Devise,Devise_financiere,Cloture_precedente,Prix_d_ouverture,Plus_bas_du_jour,Plus_haut_du_jour,Cloture_precedente_marche_regulier,Prix_actuel,Plus_bas_sur_52_semaines,Plus_haut_sur_52_semaines,Moyenne_sur_50_jours,Moyenne_sur_200_jours,Volume,Volume_moyen,Volume_moyen_10_jours,Capitalisation_boursiere,Actions_en_circulation,Pourcentage_detenu_institutions,Ratio_cours_ventes_TTM,Valeur_d_entreprise,Marges_beneficiaires,Ratio_cours_valeur_comptable,Valeur_entreprise_chiffre_d_affaires,Valeur_entreprise_EBITDA,Taux_de_dividende,Rendement_du_dividende,Ratio_de_distribution,Rendement_moyen_5_ans,Valeur_dernier_dividende,Croissance_trimestrielle_benefices,Benefice_net_actions_ordinaires,BPA_historique,BPA_previsionnel,Croissance_benefices,Croissance_chiffre_d_affaires,Marges_brutes,Marges_EBITDA,Marges_operationnelles,Rendement_actifs,Rendement_capitaux_propres,Tresorerie_totale,Tresorerie_par_action,Dette_totale,Ratio_dette_capitaux_propres,Valeur_comptable,Ratio_liquidite_immediate,Ratio_liquidite_courante,Benefice_brut,Flux_de_tresorerie_dispo,Flux_de_tresorerie_exploitation,Objectif_prix_eleve,Objectif_prix_bas,Prix_cible_moyen,Prix_cible_median,Moyenne_des_recommandations,Recommandation_cle,Nombre_d_avis_analystes,Dernier_split,Date_dernier_split,Variation_52_semaines,Beta,PER_historique,PER_previsionnel,Ratio_PEG_historique,Date_de_collecte
1,SAP.DE,Germany,Software - Application,Technology,GER,SAP SE,EUR,EUR,273.65,273.45,270.5,274.45,273.65,271.0,160.44,274.45,247.079,208.1776,1240718.0,1396635.0,1429841.0,316121481216.0,1166499968.0,0.40106,9.50284,305277599744.0,0.08252,7.6672792,9.177,35.609,2.2,0.0084,0.9483,1.53,2.2,0.145,2744999936.0,2.65,6.14,0.148,0.094,0.72903,0.25771,0.26588,0.07125,0.0646,12071999488.0,10.353,10903000064.0,26.293,35.345,0.969,1.099,24252000256.0,10543625216.0,7740000256.0,320.0,150.0,267.6804,275.0,2.03846,buy,26.0,3:1,2000-06-26 02:00:00,0.62577236,0.874,102.264145,36.834766,3.0348,2025-02-09 23:22:41.472418
2,DTE.DE,Germany,Telecom Services,Communication Services,GER,Deutsche Telekom AG,EUR,EUR,33.02,33.0,32.91,33.16,33.02,32.91,20.73,33.16,30.0848,26.3827,5789723.0,6066752.0,6749620.0,163846373376.0,4978619904.0,0.45243,1.4129682,315132968960.0,0.04277,2.8782578,2.718,7.876,0.77,0.026800001,0.77,4.01,0.77,0.357,4953999872.0,1.21,1.99,0.364,0.041,0.44492,0.34504002,0.21908002,0.04922,0.10299,8590999552.0,1.736,146966003712.0,158.994,11.434,0.704,0.99,51592998912.0,19767126016.0,38328000512.0,43.0,25.1,35.05789,35.0,1.63158,buy,19.0,,,0.48973608,0.592,27.198345,15.839097,29.7947,2025-02-09 23:22:43.702025
3,SIE.DE,Germany,Specialty Industrial Machinery,Industrials,GER,Siemens Aktiengesellschaft,EUR,EUR,208.05,208.2,206.4,209.25,208.05,207.45,150.68,209.4,195.3118,179.58145,1248073.0,1123537.0,1125953.0,162478374912.0,783217024.0,0.41085,2.0666027,195002515456.0,0.103269994,3.287378,2.48,16.466,4.7,0.0251,0.4714,3.1,5.2,0.549,7975000064.0,10.28,8.49,0.56,0.042,0.38854998,0.15063,0.13825,0.040799998,0.16410999,7758000128.0,9.83,49901998080.0,91.117,63.105,0.79,1.404,30548000768.0,3409625088.0,11352000512.0,285.0,130.0,215.37682,216.495,1.72727,buy,22.0,,,0.25694776,1.216,20.179962,17.138155,2.3223,2025-02-09 23:22:45.825238
4,ALV.DE,Germany,Insurance - Diversified,Financial Services,GER,Allianz SE,EUR,EUR,316.9,318.2,316.6,319.0,316.9,318.4,238.3,319.0,301.972,281.6715,546392.0,586272.0,476079.0,122955571200.0,386167008.0,0.40530998,1.2623127,95617679360.0,0.09866,2.1285272,0.982,6.477,13.8,0.0435,0.5691,5.05,13.8,0.223,9466000384.0,24.24,27.19,0.25,0.063,0.108100004,0.15156001,0.14661,0.00866,0.16646999,30957000704.0,80.156,,,149.587,117.674,220.795,10529000448.0,,,376.0,295.0,325.9081,324.5,2.125,buy,16.0,,,0.30411518,1.063,13.135313,11.413806,1.1906,2025-02-09 23:22:47.936468
5,MUV2.DE,Germany,Insurance - Reinsurance,Financial Services,GER,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,EUR,EUR,522.8,525.8,522.8,527.4,522.8,525.2,396.9,533.6,505.644,476.834,205637.0,223871.0,205318.0,70250749952.0,133760000.0,0.47255,1.1332046,69384773632.0,0.09203,2.2226455,1.119,12.875,15.0,0.0287,0.3511,3.8,15.0,-0.204,5704999936.0,42.71,46.04,-0.185,0.098,0.30331,0.08693,0.088970006,0.0168,0.19288999,6524000256.0,49.246,6210999808.0,19.765,236.295,0.218,0.264,18802999296.0,,,560.0,381.0,521.9371,535.0,2.58824,hold,17.0,,,0.3047167,0.85,12.296886,11.208031,0.2189,2025-02-09 23:22:50.047703
6,MRK.DE,Germany,Drug Manufacturers - Specialty & Generic,Healthcare,GER,Merck KGaA,EUR,EUR,142.25,141.2,139.9,142.65,142.25,140.15,136.1,177.0,142.027,155.58176,212696.0,251697.0,269874.0,60934131712.0,129242000.0,0.58041,2.9196997,71497539584.0,0.12583,2.283875,3.426,14.444,2.2,0.015,0.3648,1.12,2.2,-0.138,2625999872.0,6.19,9.77,-0.136,0.009,0.58424,0.23718001,0.14817001,0.043270003,0.09507,2815000064.0,6.493,10748999680.0,37.563,61.365,0.771,1.314,12193000448.0,2332375040.0,4204999936.0,208.0,160.0,182.625,182.5,1.625,buy,16.0,2:1,2014-06-30 02:00:00,-0.06568146,0.71,22.641356,14.619029,1.6023,2025-02-09 23:22:52.176940
7,SHL.DE,Germany,Medical Devices,Healthcare,GER,Siemens Healthineers AG,EUR,EUR,57.14,56.58,56.0,57.1,57.14,56.22,47.31,58.44,52.6072,52.09145,738299.0,512029.0,661264.0,62925361152.0,1119270016.0,0.103190005,2.8138156,77595803648.0,0.086840004,3.4599051,3.47,19.245,0.95,0.0175,0.5491,1.77,0.95,0.147,1942000000.0,1.73,2.84,0.153,0.045,0.37866002,0.18030001,0.14947,0.03786,0.10769,2683000064.0,2.396,16232999936.0,88.958,16.249,0.808,1.248,8467999744.0,2469125120.0,2825999872.0,69.1,49.0,61.6,61.0,1.73684,buy,19.0,,,0.05502212,0.726,32.49711,19.975271,1.2578,2025-02-09 23:22:54.288519
8,MBG.DE,Germany,Auto Manufacturers,Consumer Cyclical,GER,Mercedes-Benz Group AG,EUR,EUR,57.52,57.7,56.54,58.15,57.52,56.88,50.75,77.45,54.9694,59.2268,1998129.0,2501945.0,2196933.0,54769979392.0,962904000.0,0.33731997,0.3701975,146884247552.0,0.07327,0.6055509,0.993,8.676,5.3,0.0921,0.4995,6.0,5.3,-0.523,10840000512.0,10.61,9.86,-0.474,-0.067,0.18531999,0.114429995,0.06215,0.03103,0.11996,18066999296.0,18.87,109618003968.0,120.714,93.931,0.872,1.363,27417999360.0,-1192375040.0,15760000000.0,106.0,47.0,67.59957,63.0,2.43478,buy,23.0,,,-0.11398643,1.125,5.3609805,6.184545,,2025-02-09 23:22:56.400346
9,BMW.DE,Germany,Auto Manufacturers,Consumer Cyclical,GER,Bayerische Motoren Werke Aktiengesellschaft,EUR,EUR,77.62,77.84,76.12,78.58,77.62,76.38,65.26,115.35,77.3968,81.40445,1027660.0,1197291.0,1122254.0,47338717184.0,564403968.0,0.21982999,0.31785458,143600910336.0,0.05493,0.54010093,0.964,7.331,6.0,0.0773,0.46220002,5.73,6.0,-0.855,8181000192.0,12.98,13.76,,-0.157,0.15818,0.13152,0.0494,0.03351,0.09388,14259999744.0,22.508,106833002496.0,114.43,141.418,0.662,1.105,23558000640.0,-2536651520.0,5534000128.0,119.8,64.0,88.44783,88.0,2.04348,buy,23.0,,,-0.23901963,1.081,5.8844376,5.978327,,2025-02-09 23:22:58.517266
10,ADS.DE,Germany,Footwear & Accessories,Consumer Cyclical,GER,adidas AG,EUR,EUR,259.5,257.4,252.5,258.1,259.5,253.6,169.02,262.8,242.834,228.4795,380004.0,354536.0,278799.0,45280026624.0,178548992.0,0.51102,2.0098553,49465049088.0,0.018819999,8.773568,2.196,35.663,0.7,0.0027,0.32860002,1.3,0.7,0.71,381000000.0,2.13,7.4,0.709,0.073,0.49723,0.06157,0.092580006,0.02981,0.08054,1780999936.0,9.975,5584000000.0,100.74,28.905,0.575,1.316,11201999872.0,2029175040.0,2784000000.0,300.0,160.0,261.56897,274.0,2.34483,buy,29.0,4:1,2006-06-06 02:00:00,0.51100504,1.163,119.06103,32.831627,0.6269,2025-02-09 23:23:00.629291
11,DB1.DE,Germany,Financial Data & Stock Exchanges,Financial Services,GER,Deutsche Börse AG,EUR,EUR,240.9,240.2,239.4,242.3,240.9,240.6,175.9,242.6,227.45,205.47075,320238.0,240089.0,216057.0,44179697664.0,183623008.0,0.62925,6.4140096,,0.26834,4.3927555,,,3.8,0.015800001,0.3789,1.98,3.8,0.111,1848300032.0,10.02,10.88,0.121,0.178,0.82545996,0.43667,0.39845002,0.0061799996,0.19459999,,,8484199936.0,80.589,54.772,,1.015,5685799936.0,,,268.0,210.0,238.70589,235.0,2.17647,buy,17.0,10:1,2001-06-01 02:00:00,0.28961456,0.597,24.011976,21.830477,3.5814,2025-02-09 23:23:02.748320
12,ENR.DE,Germany,Specialty Industrial Machinery,Industrials,GER,Siemens Energy AG,EUR,EUR,56.88,56.76,56.48,58.58,56.88,57.1,13.065,59.44,52.1042,35.26955,2873010.0,2992888.0,5216796.0,45120135168.0,790195008.0,0.57342,1.3091581,46957367296.0,0.03435,5.4287887,1.362,32.953,,,,,0.1,,1184000000.0,1.35,0.89,,0.143,0.13065,0.041350003,-0.01951,-0.0010899999,0.14698,6362999808.0,7.375,3766000128.0,40.218,10.518,0.537,0.899,4503000064.0,982750016.0,2888999936.0,83.0,22.0,53.74263,58.0,2.22222,buy,19.0,,,3.1457725,1.881,42.296295,23.319447,,2025-02-09 23:23:04.865895
13,IFX.DE,Germany,Semiconductors,Technology,GER,Infineon Technologies AG,EUR,EUR,37.31,37.16,36.815,37.63,37.31,36.905,27.8,38.805,32.7356,32.601673,5628447.0,3920048.0,4741457.0,47945498624.0,1299160064.0,0.54043,3.2059846,43572346880.0,0.086990006,2.9935918,2.914,10.732,0.35,0.0112,0.2612,0.97,0.35,,1751000064.0,1.07,1.93,,-0.055,0.40615,0.27148,0.121199995,0.048070002,0.1039,2200999936.0,1.694,5168000000.0,30.013,12.328,0.905,1.903,6073999872.0,-637374976.0,2780000000.0,50.7,35.0,41.85652,42.0,1.3913,strong_buy,23.0,,,0.10909629,1.7,34.49065,16.969765,0.9058,2025-02-09 23:23:06.980820
55,SPG.DE,,,,GER,Springer Nature AG & Co. KGaA,EUR,,25.8,25.92,25.16,25.92,25.8,25.4,22.86,28.3,25.85,25.169445,8326.0,17690.0,8439.0,5051780096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,29.0,31.82857,31.0,1.71429,buy,7.0,,,,,,,,2025-02-09 23:24:35.750910
14,BAS.DE,Germany,Chemicals,Basic Materials,GER,BASF SE,EUR,EUR,48.35,48.75,47.39,48.9,48.35,47.52,40.175,54.93,43.9695,44.931423,3399525.0,2278865.0,2732826.0,42412646400.0,892521984.0,0.26365,0.6497633,65091653632.0,0.0076099997,1.2209661,0.997,11.624,2.25,0.0465,6.1818,6.67,3.4,,497000000.0,0.55,4.69,,,0.25070998,0.08579001,0.01411,0.016339999,0.01709,2604999936.0,2.919,23975999488.0,66.517,38.92,1.028,1.867,16364999680.0,1713374976.0,7752000000.0,60.0,40.0,52.98182,53.8,2.04545,buy,22.0,2:1,2008-06-27 02:00:00,0.09836435,1.2,86.4,13.56265,0.0779,2025-02-09 23:23:09.092609
15,DHL.DE,Germany,Integrated Freight & Logistics,Industrials,GER,Deutsche Post AG,EUR,EUR,35.41,35.36,34.77,35.6,35.41,34.8,33.03,43.655,34.7614,37.5021,2671241.0,2475884.0,2740809.0,40673546240.0,1141920000.0,0.35502997,0.48867092,61903626240.0,0.03864,1.834282,0.744,8.415,1.85,0.052199997,0.6877,3.44,1.85,-0.069,3216000000.0,2.69,3.27,-0.074,0.062,0.19715999,0.08838,0.0643,0.04738,0.15085,2689999872.0,2.292,23408001024.0,103.52,18.972,0.689,0.91,16410000384.0,2604499968.0,8135000064.0,50.0,33.0,41.20588,40.0,2.38889,buy,17.0,,,-0.16406989,1.08,12.936803,11.041765,1.9751,2025-02-09 23:23:11.197852
16,DBK.DE,Germany,Banks - Regional,Financial Services,GER,Deutsche Bank Aktiengesellschaft,EUR,EUR,18.682,18.746,18.534,18.78,18.682,18.592,11.524,19.628,17.42572,15.72851,6729310.0,6648614.0,8802338.0,36140986368.0,1943900032.0,0.50376,1.307987,-71069065216.0,0.16149001,0.48243293,-2.572,,0.45,0.023,0.2367,2.72,0.45,0.389,3888000000.0,1.9,2.7,0.446,0.017,,,0.3132,0.00336,0.061160002,567723032576.0,292.054,458367991808.0,,38.538,,,27630999552.0,,,24.8,10.9,19.51333,20.0,2.4,buy,15.0,,,0.61051726,1.112,9.785263,5.9577327,2.5178,2025-02-09 23:23:13.351575
17,RHM.DE,Germany,Aerospace & Defense,Industrials,GER,Rheinmetall AG,EUR,EUR,706.4,719.0,713.4,734.0,706.4,723.4,332.2,774.8,658.4,551.889,427367.0,238312.0,339678.0,31408220160.0,43417500.0,0.41932,3.5061643,33110607872.0,0.06285,9.368039,3.696,23.35,5.7,0.0081,0.5076,1.96,5.7,0.324,687000000.0,11.23,29.92,0.303,0.424,0.53226,0.15829,0.11581001,0.059499998,0.22298999,474000000.0,10.92,1810000000.0,48.591,77.22,0.508,1.251,4768000000.0,926875008.0,1460999936.0,920.0,650.0,769.7857,771.0,1.64286,buy,14.0,,,1.0986333,,64.41675,23.93246,0.5655,2025-02-09 23:23:15.464921
