Pays,Industrie,Secteur,Bourse,Nom complet,Ticker,Devise,Devise financière,Clôture précédente,Prix d’ouverture,Plus bas du jour,Plus haut du jour,Clôture précédente marché régulier,Prix actuel,Plus bas sur 52 semaines,Plus haut sur 52 semaines,Moyenne sur 50 jours,Moyenne sur 200 jours,Volume,Volume moyen,Volume moyen 10 jours,Capitalisation boursière,Actions en circulation,Pourcentage détenu institutions,Ratio cours/ventes TTM,Valeur d’entreprise,Marges bénéficiaires,Ratio cours/valeur comptable,Valeur entreprise / chiffre d’affaires,Valeur entreprise / EBITDA,Taux de dividende,Rendement du dividende,Ratio de distribution,Rendement moyen 5 ans,Valeur dernier dividende,Croissance trimestrielle bénéfices,Bénéfice net actions ordinaires,BPA historique,BPA prévisionnel,Croissance bénéfices,Croissance chiffre d’affaires,Marges brutes,Marges EBITDA,Marges opérationnelles,Rendement actifs,Rendement capitaux propres,Trésorerie totale,Trésorerie par action,Dette totale,Ratio dette/capitaux propres,Valeur comptable,Ratio liquidité immédiate,Ratio liquidité courante,Bénéfice brut,Flux de trésorerie dispo,Flux de trésorerie exploitation,Objectif prix élevé,Objectif prix bas,Prix cible moyen,Prix cible médian,Moyenne des recommandations,Recommandation clé,Nombre d’avis analystes,Dernier split,Date dernier split,Variation 52 semaines,Bêta,PER historique,PER prévisionnel,Ratio PEG historique
Netherlands,Semiconductor Equipment & Materials,Technology,AMS,ASML Holding N.V.,ASML.AS,EUR,EUR,701.5,708.4,706.3,719.3,701.5,717.0,605.7,1021.8,699.928,773.4675,705973,765979,1077408,286857363456,393200000,0.5277,10.933272,268066701312,0.26399,17.455023,10.217,30.237,6.24,0.0097,0.3506,0.85,1.84,0.097,6926300160,19.26,24.18,0.098,0.119,0.51147,0.3379,0.32692,0.12707,0.49216,4984500224,12.677,4692199936,29.051,41.077,0.728,1.551,13419499520,524100000,4818400256,1057.0,500.0,842.2258,850.0,1.78947,buy,31,77:100,1353888000,-0.19895166,1.104,37.227413,24.853367,1.518
United States,Telecom Services,Communication Services,NYQ,AT&T Inc.,T,USD,USD,24.54,24.605,24.6,24.94,24.54,24.88,15.94,24.98,23.088,20.5837,25376692,36171621,43901320,178538872832,7176000000,0.62334,1.4627141,324287561728,0.07419,1.7440068,2.657,7.582,1.11,0.048899997,0.90239996,7.08,0.278,N/A,8849999872,1.49,2.24,N/A,-0.005,0.59907,0.35042998,0.23618999,0.04033,0.08759,2647000064,0.369,148002996224,125.151,14.266,0.42,0.733,73122996224,17564999680,38252998656,32.0,15.49,26.77269,28.0,1.92857,buy,26,1324:1000,1649635200,0.44183314,0.73,16.697987,11.087394,4.1685
United States,Software - Infrastructure,Technology,NMS,Adobe Inc.,ADBE,USD,USD,433.07,439.38,439.0,453.37,433.07,451.1,403.75,626.35,460.5512,501.8059,3411083,3977361,3563470,196363829248,435300000,0.85663,9.374318,240642179072,0.25588,13.801437,11.488,29.585,N/A,N/A,N/A,0.12,0.0065,0.2,5360000000,12.34,20.55,0.233,0.106,0.88657,0.38831002,0.36834,0.15969,0.35355,7514999808,17.072,6078000128,41.788,32.685,0.966,1.111,18570999808,6618500096,6732000256,660.0,425.0,573.3423,590.0,1.92308,buy,35,2:1,1116892800,-0.29218423,1.299,36.555916,19.554712,1.5182
Ireland,Rental & Leasing Services,Industrials,NYQ,AerCap Holdings N.V.,AER,USD,USD,97.75,98.0,96.695,97.7996,97.75,96.84,75.83,100.81,95.9906,93.90955,453035,977818,1071260,18373550080,189731008,0.91067004,2.3503835,62751080448,0.32406,1.0681785,8.027,15.397,1.0,0.010199999,0.0403,N/A,0.25,-0.661,2533252096,12.4,12.24,-0.599,0.03,0.57967997,0.52136004,0.46147,0.034760002,0.153,3810194944,20.62,48498540544,289.501,90.659,1.534,1.982,4531476992,-1829526400,5551903232,130.0,103.0,112.77778,113.0,1.55556,buy,9,N/A,N/A,0.25788188,1.829,7.8096776,7.9953036,
United States,Specialty Chemicals,Basic Materials,NYQ,"Air Products and Chemicals, Inc.",APD,USD,USD,310.44,310.7,303.92,311.06,310.44,310.75,216.3,341.14,312.7782,288.3048,2372687,1496666,2070330,69134417920,222476000,0.90792,5.713305,87717486592,0.31636,4.060287,7.249,20.416,7.16,0.0215,0.4095,2.27,1.77,1.815,3842099968,17.29,14.17,1.81,-0.001,0.32493,0.35507,0.25791,0.049689997,0.2258,2984699904,13.408,14905799680,79.822,76.534,1.296,1.522,3931899904,-3224012544,3646700032,395.0,300.0,355.64,353.09,2.0,buy,22,1081:1000,1475452800,0.3946718,0.826,17.972816,22.151478,11.4818
United States,Internet Content & Information,Communication Services,NMS,Alphabet Inc.,GOOGL,USD,USD,185.34,187.39,185.86,188.2,185.34,186.47,130.67,207.05,189.5972,174.76045,21586618,29066720,36111460,2283026776064,5832999936,0.80603,6.7175703,2462356602880,0.27738002,7.2802873,7.245,19.943,0.8,0.004,0.0531,N/A,0.2,0.336,94268997632,8.04,8.96,0.366,0.151,0.58127,0.36330003,0.32312,0.16483,0.32101002,93229998080,7.616,29289000960,9.324,25.613,1.761,1.95,197550997504,41104498688,105101000704,240.0,151.0,217.54446,220.0,1.60938,buy,47,20:1,1658102400,0.25628686,1.034,23.192787,18.21126,1.3363
United States,Internet Retail,Consumer Cyclical,NMS,"Amazon.com, Inc.",AMZN,USD,USD,229.15,230.545,229.2,233.915,229.15,233.14,151.61,242.52,225.4602,195.83755,32330701,37225751,42936840,2470747570176,10597699584,0.64438003,3.9842544,2581784166400,0.080419995,9.456094,4.163,23.138,N/A,N/A,N/A,N/A,N/A,0.552,49868001280,5.52,6.15,0.521,0.11,0.48406,0.17994,0.109589994,0.07069,0.22558,88050999296,8.374,158534991872,61.175,24.655,0.827,1.089,300180013056,54328250368,112706002944,306.0,207.0,263.10318,268.0,1.36765,strong_buy,63,20:1,1654473600,0.32963908,1.146,42.235508,30.72086,1.7515
United States,Banks - Diversified,Financial Services,NYQ,Bank of America Corporation,BAC,USD,USD,47.4,47.48,46.4,47.55,47.4,46.675,32.35,48.08,45.9566,41.8287,20047692,34023108,32007130,355236872192,7610860032,0.63408,3.7541149,357865619456,0.24952,1.3195839,3.782,N/A,1.04,0.0221,0.35509998,2.45,0.26,-0.116,21941999616,3.21,3.66,-0.1,-0.005,N/A,N/A,0.30769,0.0072899996,0.08092,827766996992,107.882,799686000640,N/A,35.371,N/A,N/A,94625996800,N/A,-1995000064,59.0,43.0,52.59524,53.0,1.68182,buy,21,2:1,1093824000,0.40987504,1.325,14.540498,10.764654,1.7793
France,Diagnostics & Research,Healthcare,PAR,bioMérieux S.A.,BIM.PA,EUR,EUR,113.3,113.1,112.7,115.6,113.3,115.0,88.25,117.6,106.278,101.16825,82922,99208,95684,13669590016,117929000,0.20809999,3.5911176,13668657152,0.10805,3.5086648,3.591,15.829,0.85,0.0075,0.245,0.64,0.85,0.332,411300000,3.47,4.57,0.341,0.074,0.55718,0.22684999,0.15159,0.07083,0.10609,272200000,2.307,558499968,14.394,32.776,1.199,2.21,2120899968,180712496,494600000,132.0,90.0,121.53333,129.0,1.93333,buy,15,3:1,1505865600,0.10428846,0.219,33.14121,24.96662,1.4506
France,Consulting Services,Industrials,PAR,Bureau Veritas SA,BVI.PA,EUR,EUR,29.18,29.16,29.16,29.56,29.18,29.56,24.46,31.54,29.5396,28.6379,1049645,1006713,1109040,13357986816,448512992,0.41956002,2.229229,14657814528,0.084359996,8.125343,2.446,13.365,0.83,0.028399998,0.7545,2.62,0.83,0.008,505500000,1.1,1.48,-0.002,0.042,0.29787,0.18302,0.13325,0.07989,0.29916,1529500032,3.414,3045900032,179.403,3.638,1.314,1.329,1784899968,735962496,860000000,40.0,28.5,33.6,34.0,1.94118,buy,17,4:1,1371772800,0.17282963,0.868,26.872726,19.620207,2.448
